number of adults,number of children,number of weekend nights,number of week nights,type of meal,car parking space,room type,lead time,market segment type,repeated,P-C,P-not-C,average price,special requests,date of reservation,booking status,outcome
2,0,0,1,Not Selected,0,Room_Type 1,106,Online,0,0,0,94.5,0,7/15/2018,Canceled,1
2,0,1,4,Meal Plan 1,0,Room_Type 1,30,Offline,0,0,0,60,0,1/6/2018,Not_Canceled,0
2,0,0,2,Not Selected,0,Room_Type 1,131,Online,0,0,0,76.23,2,8/5/2018,Not_Canceled,0
2,0,0,3,Meal Plan 1,0,Room_Type 1,44,Offline,0,0,0,75,0,2/17/2018,Not_Canceled,0
1,0,0,2,Meal Plan 1,0,Room_Type 1,13,Corporate,0,0,0,65,0,10/28/2017,Not_Canceled,0
1,0,0,2,Meal Plan 2,0,Room_Type 1,74,Offline,0,0,0,80,0,9/18/2017,Not_Canceled,0
3,0,1,1,Meal Plan 1,0,Room_Type 1,196,Online,0,0,0,128.7,0,8/6/2018,Canceled,1
2,1,0,3,Meal Plan 2,0,Room_Type 1,87,Online,0,0,0,185.85,2,6/2/2018,Not_Canceled,0
2,0,0,0,Meal Plan 1,0,Room_Type 1,16,Online,0,0,0,0,1,10/8/2017,Not_Canceled,0
3,0,1,2,Meal Plan 1,0,Room_Type 4,58,Online,0,0,0,158.53,2,6/10/2018,Not_Canceled,0
2,0,0,4,Meal Plan 1,1,Room_Type 1,156,Online,0,0,0,114.83,1,7/5/2018,Canceled,1
2,0,0,1,Not Selected,0,Room_Type 1,52,Online,0,0,0,88,1,11/5/2018,Not_Canceled,0
2,0,2,1,Meal Plan 1,0,Room_Type 1,71,Online,0,0,0,89.25,2,10/24/2017,Not_Canceled,0
2,0,2,3,Meal Plan 1,0,Room_Type 1,303,Offline,0,0,0,78,0,8/19/2018,Canceled,1
2,0,0,3,Not Selected,0,Room_Type 1,15,Online,0,0,0,109,0,5/31/2018,Canceled,1
2,0,2,1,Meal Plan 1,0,Room_Type 7,10,Offline,0,0,0,52,0,12/27/2017,Not_Canceled,0
2,0,0,2,Meal Plan 2,0,Room_Type 1,39,Offline,0,0,0,101.5,0,8/14/2017,Not_Canceled,0
2,1,2,1,Meal Plan 1,0,Room_Type 6,16,Online,0,0,0,165,3,9/5/2017,Not_Canceled,0
2,0,2,2,Meal Plan 1,0,Room_Type 1,41,Offline,0,0,0,68,0,11/27/2018,Not_Canceled,0
1,0,0,2,Meal Plan 1,0,Room_Type 1,1,Online,0,0,0,88,1,12/15/2018,Not_Canceled,0
2,1,0,1,Meal Plan 1,0,Room_Type 1,23,Online,0,0,0,109,0,3/18/2018,Not_Canceled,0
2,0,1,3,Meal Plan 1,0,Room_Type 2,134,Online,0,0,0,114.96,1,6/2/2018,Not_Canceled,0
2,0,1,1,Meal Plan 1,0,Room_Type 1,33,Corporate,0,0,0,64,0,1/25/2018,Not_Canceled,0
2,0,0,1,Meal Plan 2,0,Room_Type 1,170,Offline,0,0,0,96.9,2,9/12/2017,Not_Canceled,0
2,0,0,2,Meal Plan 1,0,Room_Type 1,74,Offline,0,0,0,75,0,12/2/2018,Not_Canceled,0
2,0,0,3,Meal Plan 1,0,Room_Type 4,66,Online,0,0,0,126,0,7/19/2018,Canceled,1
2,0,0,3,Not Selected,0,Room_Type 1,29,Online,0,0,0,102,1,4/14/2018,Not_Canceled,0
1,0,1,3,Meal Plan 1,0,Room_Type 1,63,Online,0,0,0,68,0,7/2/2017,Canceled,1
2,0,1,3,Meal Plan 1,0,Room_Type 4,66,Online,0,0,0,104.85,1,10/31/2018,Not_Canceled,0
2,0,1,2,Meal Plan 1,0,Room_Type 4,74,Online,0,0,0,102.6,1,12/26/2018,Not_Canceled,0
2,0,2,2,Not Selected,0,Room_Type 1,199,Online,0,0,0,74.8,1,12/23/2018,Canceled,1
2,0,1,2,Meal Plan 1,0,Room_Type 1,41,Online,0,0,0,105.9,2,10/16/2017,Not_Canceled,0
2,0,1,3,Meal Plan 1,0,Room_Type 1,200,Online,0,0,0,106.2,2,5/2/2018,Canceled,1
2,0,1,2,Meal Plan 1,0,Room_Type 1,233,Offline,0,0,0,90,0,10/14/2018,Canceled,1
2,0,1,1,Meal Plan 1,0,Room_Type 1,77,Online,0,0,0,93.6,1,11/19/2018,Not_Canceled,0
2,0,2,4,Meal Plan 1,0,Room_Type 1,8,Online,0,0,0,73.2,1,1/27/2018,Not_Canceled,0
2,0,0,5,Meal Plan 1,0,Room_Type 1,44,Online,0,0,0,91.8,2,11/1/2018,Not_Canceled,0
2,0,1,3,Meal Plan 1,0,Room_Type 1,135,Online,0,0,0,119.85,2,6/16/2018,Not_Canceled,0
2,0,2,1,Meal Plan 1,0,Room_Type 1,80,Offline,0,0,0,75,0,4/24/2018,Not_Canceled,0
2,0,2,3,Meal Plan 1,0,Room_Type 4,88,Online,0,0,0,149.4,1,9/15/2018,Not_Canceled,0
2,0,0,3,Meal Plan 1,0,Room_Type 1,63,Online,0,0,0,102.9,1,12/3/2017,Not_Canceled,0
2,0,1,2,Not Selected,0,Room_Type 1,6,Online,0,0,0,114,1,9/21/2017,Not_Canceled,0
1,0,0,3,Meal Plan 1,0,Room_Type 1,37,Offline,0,0,0,95,0,10/13/2018,Not_Canceled,0
1,0,2,5,Meal Plan 1,0,Room_Type 1,102,Online,0,0,0,99.9,0,7/23/2018,Canceled,1
2,0,0,1,Meal Plan 1,0,Room_Type 1,180,Offline,0,0,0,70,0,10/16/2017,Canceled,1
1,0,0,1,Not Selected,0,Room_Type 1,0,Online,0,0,0,149,0,9/2/2018,Not_Canceled,0
1,0,0,1,Not Selected,0,Room_Type 1,0,Offline,0,0,0,84,0,4/5/2018,Not_Canceled,0
2,0,1,1,Meal Plan 2,0,Room_Type 1,247,Offline,0,0,0,109,0,6/6/2018,Canceled,1
2,0,1,1,Meal Plan 2,0,Room_Type 1,117,Online,0,0,0,127.8,1,12/24/2018,Canceled,1
2,0,0,3,Meal Plan 1,0,Room_Type 1,32,Offline,0,0,0,85,1,10/25/2018,Not_Canceled,0
2,0,2,2,Meal Plan 1,0,Room_Type 1,48,Online,0,0,0,93.5,2,3/20/2018,Not_Canceled,0
2,0,0,2,Meal Plan 2,0,Room_Type 4,80,Offline,0,0,0,136,0,10/9/2017,Not_Canceled,0
2,0,0,3,Meal Plan 1,0,Room_Type 1,335,Offline,0,0,0,90,1,10/13/2018,Not_Canceled,0
2,0,0,3,Meal Plan 1,0,Room_Type 1,37,Offline,0,0,0,105,0,10/13/2018,Not_Canceled,0
2,0,1,0,Not Selected,0,Room_Type 1,45,Online,0,0,0,126,2,10/17/2018,Not_Canceled,0
1,0,2,2,Meal Plan 1,0,Room_Type 1,54,Offline,0,0,0,66.5,0,10/16/2018,Not_Canceled,0
1,0,2,4,Meal Plan 1,0,Room_Type 1,69,Offline,0,0,0,120,0,6/12/2018,Canceled,1
1,0,0,2,Meal Plan 1,0,Room_Type 1,181,Offline,0,0,0,120,0,10/11/2018,Canceled,1
2,0,0,3,Meal Plan 2,0,Room_Type 1,81,Online,0,0,0,85.68,0,3/16/2018,Not_Canceled,0
2,0,2,5,Not Selected,0,Room_Type 1,154,Offline,0,0,0,63.75,0,8/11/2018,Not_Canceled,0
2,0,2,5,Meal Plan 1,0,Room_Type 4,113,Online,0,0,0,137.21,2,5/16/2018,Not_Canceled,0
2,1,2,2,Meal Plan 1,0,Room_Type 5,33,Offline,0,0,0,150.57,0,8/13/2018,Not_Canceled,0
1,0,2,4,Meal Plan 1,0,Room_Type 1,245,Offline,0,0,0,110,0,7/6/2018,Canceled,1
1,0,1,3,Meal Plan 1,0,Room_Type 1,12,Corporate,0,0,0,95,0,10/12/2017,Not_Canceled,0
2,0,1,3,Meal Plan 1,0,Room_Type 1,266,Online,0,0,0,73.95,0,12/26/2018,Canceled,1
2,0,1,2,Not Selected,0,Room_Type 1,85,Online,0,0,0,76.5,1,3/28/2018,Not_Canceled,0
2,0,2,2,Meal Plan 1,0,Room_Type 1,112,Online,0,0,0,52.85,1,12/4/2017,Not_Canceled,0
2,0,1,3,Meal Plan 1,0,Room_Type 4,63,Online,0,0,0,62.32,3,2/4/2018,Not_Canceled,0
1,0,0,4,Meal Plan 1,0,Room_Type 1,8,Online,0,0,0,80.75,2,11/16/2018,Not_Canceled,0
1,0,2,1,Meal Plan 1,0,Room_Type 1,79,Online,0,0,0,112.5,1,8/13/2018,Not_Canceled,0
2,0,0,2,Meal Plan 1,0,Room_Type 1,83,Online,0,0,0,135.9,2,9/7/2018,Not_Canceled,0
2,0,2,0,Not Selected,0,Room_Type 1,196,Online,0,0,0,116.1,0,9/11/2018,Canceled,1
1,0,0,2,Meal Plan 1,0,Room_Type 1,2,Complementary,0,0,0,0,0,8/19/2017,Not_Canceled,0
2,0,2,3,Meal Plan 1,0,Room_Type 1,97,Online,0,0,0,135.9,1,9/10/2018,Not_Canceled,0
2,0,0,4,Not Selected,0,Room_Type 1,4,Online,0,0,0,127,2,6/29/2018,Not_Canceled,0
2,0,2,2,Meal Plan 1,0,Room_Type 1,63,Online,0,0,0,135.9,2,8/14/2018,Not_Canceled,0
1,0,0,0,Not Selected,0,Room_Type 1,3,Online,0,0,0,0,0,10/14/2018,Not_Canceled,0
2,0,0,3,Meal Plan 1,0,Room_Type 1,197,Online,0,0,0,106.2,2,4/12/2018,Canceled,1
2,0,2,2,Meal Plan 1,0,Room_Type 1,179,Online,0,0,0,90.95,1,7/17/2018,Not_Canceled,0
2,0,1,2,Meal Plan 1,0,Room_Type 1,86,Offline,0,0,0,65,1,5/20/2018,Not_Canceled,0
2,0,0,3,Meal Plan 1,0,Room_Type 1,2,Online,0,0,0,96,1,1/7/2018,Not_Canceled,0
1,0,0,2,Meal Plan 1,0,Room_Type 1,192,Offline,0,0,0,95,0,6/24/2018,Not_Canceled,0
2,0,2,1,Meal Plan 1,0,Room_Type 1,11,Online,0,0,0,87,1,11/1/2017,Not_Canceled,0
1,0,0,2,Meal Plan 1,0,Room_Type 1,64,Corporate,0,0,0,130,0,5/17/2018,Not_Canceled,0
1,0,0,1,Meal Plan 1,0,Room_Type 1,6,Online,0,0,0,95,0,6/23/2018,Canceled,1
2,0,0,4,Meal Plan 1,0,Room_Type 2,53,Online,0,0,0,77.86,2,11/29/2018,Not_Canceled,0
2,0,2,3,Meal Plan 1,0,Room_Type 1,198,Offline,0,0,0,72.25,0,8/25/2018,Not_Canceled,0
2,0,0,2,Not Selected,0,Room_Type 1,39,Online,0,0,0,116.1,0,5/12/2018,Canceled,1
2,0,0,2,Meal Plan 1,0,Room_Type 1,68,Online,0,0,0,93.6,0,11/25/2018,Not_Canceled,0
1,0,2,1,Not Selected,0,Room_Type 1,32,Online,0,0,0,65.14,1,6/12/2018,Not_Canceled,0
2,0,2,2,Meal Plan 1,0,Room_Type 1,80,Offline,0,0,0,72.25,0,7/15/2018,Not_Canceled,0
2,0,0,2,Meal Plan 1,0,Room_Type 4,44,Online,0,0,0,140.4,1,5/18/2018,Not_Canceled,0
3,0,2,3,Meal Plan 1,0,Room_Type 1,166,Online,0,0,0,121.55,0,7/7/2018,Canceled,1
1,0,0,3,Not Selected,0,Room_Type 1,15,Online,0,0,0,109,1,5/31/2018,Not_Canceled,0
2,0,2,3,Meal Plan 1,0,Room_Type 1,93,Online,0,0,0,119.85,0,5/21/2018,Canceled,1
1,0,1,0,Meal Plan 1,0,Room_Type 1,10,Corporate,0,0,0,65,0,10/18/2017,Not_Canceled,0
2,0,0,4,Meal Plan 2,0,Room_Type 1,323,Offline,0,0,0,112,1,5/17/2018,Canceled,1
2,0,0,3,Meal Plan 1,0,Room_Type 1,8,Online,0,0,0,116.27,2,6/30/2018,Not_Canceled,0
1,0,0,2,Meal Plan 2,0,Room_Type 1,6,Online,0,0,0,0,0,12/10/2017,Not_Canceled,0
2,0,1,2,Meal Plan 1,0,Room_Type 1,267,Offline,0,0,0,95,0,9/30/2018,Canceled,1
2,0,1,0,Meal Plan 1,0,Room_Type 4,5,Online,0,0,0,155,1,5/1/2018,Not_Canceled,0
2,1,1,0,Meal Plan 1,0,Room_Type 1,8,Online,0,0,0,112,2,8/28/2018,Not_Canceled,0
1,0,0,2,Meal Plan 1,0,Room_Type 1,188,Offline,0,0,0,130,0,6/15/2018,Canceled,1
2,0,1,5,Meal Plan 1,0,Room_Type 1,70,Offline,0,0,0,85,1,7/11/2018,Not_Canceled,0
2,0,1,2,Meal Plan 2,0,Room_Type 1,161,Offline,0,0,0,130,0,3/25/2018,Canceled,1
2,0,2,1,Meal Plan 2,0,Room_Type 1,57,Online,0,0,0,141.3,1,10/29/2018,Canceled,1
2,0,1,2,Meal Plan 1,1,Room_Type 1,65,Online,0,0,0,96.3,0,3/28/2018,Not_Canceled,0
2,0,1,5,Meal Plan 1,0,Room_Type 4,126,Online,0,0,0,111.35,1,5/9/2018,Not_Canceled,0
1,0,1,2,Meal Plan 1,0,Room_Type 1,219,Offline,0,0,0,76.67,0,9/4/2017,Not_Canceled,0
1,1,2,2,Meal Plan 1,0,Room_Type 1,179,Online,0,0,0,82.18,0,8/26/2018,Canceled,1
1,0,1,0,Meal Plan 1,1,Room_Type 1,4,Corporate,1,0,1,67,1,10/3/2018,Not_Canceled,0
3,0,1,1,Meal Plan 1,0,Room_Type 4,11,Online,0,0,0,186,2,5/2/2018,Not_Canceled,0
2,0,0,4,Not Selected,0,Room_Type 1,17,Online,0,0,0,140,1,10/19/2018,Not_Canceled,0
1,0,2,4,Meal Plan 1,0,Room_Type 1,69,Offline,0,0,0,120,0,6/12/2018,Canceled,1
2,0,0,1,Not Selected,0,Room_Type 1,1,Online,0,0,0,97,0,6/23/2018,Not_Canceled,0
1,0,4,6,Meal Plan 1,0,Room_Type 1,243,Online,0,0,0,89.17,0,9/4/2018,Canceled,1
2,0,0,2,Meal Plan 2,0,Room_Type 1,39,Offline,0,0,0,101.5,0,8/14/2017,Not_Canceled,0
2,0,0,1,Not Selected,0,Room_Type 1,50,Online,0,0,0,99,0,9/2/2018,Canceled,1
0,2,1,3,Meal Plan 1,0,Room_Type 2,182,Online,0,0,0,83.5,1,10/31/2018,Not_Canceled,0
1,0,2,4,Meal Plan 1,0,Room_Type 1,245,Offline,0,0,0,110,0,7/6/2018,Canceled,1
2,0,1,3,Not Selected,0,Room_Type 1,107,Online,0,0,0,118.8,1,9/5/2018,Canceled,1
2,0,1,0,Meal Plan 1,0,Room_Type 1,286,Offline,0,0,0,90,0,10/16/2018,Canceled,1
2,0,0,1,Meal Plan 1,0,Room_Type 1,176,Online,0,0,0,97.71,0,9/15/2018,Canceled,1
2,0,0,3,Meal Plan 1,0,Room_Type 1,176,Offline,0,0,0,125.1,0,9/8/2018,Canceled,1
0,2,2,3,Meal Plan 1,0,Room_Type 2,40,Online,0,0,0,127.83,1,4/30/2018,Not_Canceled,0
2,0,0,2,Meal Plan 1,0,Room_Type 1,65,Online,0,0,0,109.9,1,7/27/2018,Not_Canceled,0
2,0,2,3,Meal Plan 1,0,Room_Type 1,276,Offline,0,0,0,61,0,5/13/2018,Canceled,1
1,0,1,2,Meal Plan 1,0,Room_Type 1,14,Online,0,0,0,68.85,0,1/8/2018,Not_Canceled,0
2,0,2,1,Not Selected,0,Room_Type 1,110,Offline,0,0,0,63.75,0,8/14/2018,Not_Canceled,0
2,0,1,2,Meal Plan 2,0,Room_Type 1,27,Online,0,0,0,177,2,10/17/2018,Not_Canceled,0
3,0,2,3,Meal Plan 1,0,Room_Type 4,62,Online,0,0,0,125.63,1,4/2/2018,Canceled,1
1,0,1,0,Meal Plan 1,0,Room_Type 1,7,Online,0,0,0,97,0,5/16/2018,Not_Canceled,0
1,0,0,2,Meal Plan 2,0,Room_Type 1,14,Online,0,0,0,0,0,9/17/2017,Not_Canceled,0
2,0,2,2,Not Selected,0,Room_Type 1,13,Online,0,0,0,77.14,1,11/20/2018,Canceled,1
2,0,0,1,Meal Plan 1,0,Room_Type 1,162,Online,0,0,0,96.3,0,8/27/2018,Canceled,1
3,0,2,3,Meal Plan 1,0,Room_Type 1,38,Online,0,0,0,137.7,1,4/10/2018,Not_Canceled,0
2,0,0,1,Not Selected,0,Room_Type 1,5,Online,0,0,0,109,0,7/29/2018,Not_Canceled,0
2,0,2,5,Meal Plan 1,0,Room_Type 1,28,Online,0,0,0,113.79,2,9/11/2017,Canceled,1
2,0,1,2,Meal Plan 1,0,Room_Type 1,123,Online,0,0,0,90,2,12/9/2018,Not_Canceled,0
1,0,1,5,Meal Plan 1,0,Room_Type 1,349,Offline,0,0,0,96.67,0,10/4/2018,Canceled,1
2,0,2,1,Meal Plan 1,0,Room_Type 1,41,Offline,0,0,0,85.5,0,9/11/2018,Not_Canceled,0
2,0,0,4,Meal Plan 2,0,Room_Type 1,100,Offline,0,0,0,140,1,9/28/2018,Not_Canceled,0
2,0,0,1,Not Selected,0,Room_Type 1,8,Online,0,0,0,119,0,5/25/2018,Not_Canceled,0
2,0,2,4,Meal Plan 1,0,Room_Type 4,91,Online,0,0,0,127.65,1,10/20/2018,Canceled,1
2,0,2,2,Meal Plan 1,1,Room_Type 2,18,Online,0,0,0,102.88,0,12/4/2017,Not_Canceled,0
2,1,2,5,Meal Plan 1,1,Room_Type 1,188,Online,0,0,0,123.75,2,8/9/2018,Canceled,1
2,0,2,3,Meal Plan 2,0,Room_Type 4,33,Online,0,0,0,123.82,0,10/2/2018,Canceled,1
1,0,0,1,Meal Plan 1,0,Room_Type 1,41,Offline,0,0,0,60,0,12/27/2018,Not_Canceled,0
2,1,1,2,Meal Plan 1,0,Room_Type 1,190,Online,0,0,0,121.5,1,8/8/2018,Canceled,1
2,2,2,2,Meal Plan 1,0,Room_Type 6,144,Online,0,0,0,177.65,1,5/27/2018,Canceled,1
2,0,2,2,Meal Plan 1,0,Room_Type 4,25,Online,0,0,0,96.9,0,11/25/2018,Canceled,1
1,0,0,2,Meal Plan 1,0,Room_Type 1,4,Online,0,0,0,85,0,2/12/2018,Not_Canceled,0
2,0,0,2,Meal Plan 1,0,Room_Type 4,5,Online,0,0,0,116,0,4/20/2018,Canceled,1
2,0,2,5,Not Selected,0,Room_Type 1,188,Online,0,0,0,80.75,1,7/23/2018,Not_Canceled,0
2,0,2,2,Meal Plan 1,0,Room_Type 1,116,Offline,0,0,0,59.5,0,3/25/2018,Canceled,1
1,0,0,1,Meal Plan 1,0,Room_Type 1,86,Online,0,0,0,85.5,1,4/27/2018,Not_Canceled,0
1,0,0,2,Meal Plan 1,0,Room_Type 1,1,Corporate,0,0,0,65,0,7/28/2017,Not_Canceled,0
1,0,1,3,Meal Plan 1,0,Room_Type 1,56,Offline,0,0,0,74,0,6/9/2018,Not_Canceled,0
2,0,1,2,Meal Plan 1,0,Room_Type 1,302,Offline,0,0,0,100,0,9/16/2018,Canceled,1
2,0,0,3,Meal Plan 1,0,Room_Type 1,433,Offline,0,0,0,70,0,9/8/2018,Canceled,1
1,0,0,2,Meal Plan 1,0,Room_Type 1,164,Offline,0,0,0,100,0,10/2/2017,Not_Canceled,0
3,0,1,1,Meal Plan 1,0,Room_Type 4,52,Online,0,0,0,159.3,2,5/28/2018,Not_Canceled,0
2,0,2,3,Meal Plan 1,0,Room_Type 1,4,Online,0,0,0,169,0,9/15/2018,Not_Canceled,0
3,0,1,4,Meal Plan 1,0,Room_Type 4,79,Online,0,0,0,148.86,2,7/6/2018,Not_Canceled,0
2,0,0,2,Meal Plan 1,0,Room_Type 1,10,Online,0,0,0,93,1,2/9/2018,Canceled,1
2,0,0,2,Meal Plan 1,0,Room_Type 1,22,Offline,0,0,0,140,0,5/20/2018,Not_Canceled,0
2,0,2,1,Meal Plan 1,0,Room_Type 1,205,Offline,0,0,0,90,0,5/29/2018,Canceled,1
2,1,3,7,Meal Plan 1,0,Room_Type 1,74,Online,0,0,0,69.4,0,7/27/2017,Not_Canceled,0
2,0,2,3,Meal Plan 1,0,Room_Type 1,50,Online,0,0,0,101.31,0,4/1/2018,Canceled,1
2,0,2,4,Meal Plan 1,0,Room_Type 4,56,Online,0,0,0,101.72,1,3/30/2018,Not_Canceled,0
2,0,2,3,Meal Plan 1,0,Room_Type 1,166,Online,0,0,0,99.45,1,8/4/2018,Not_Canceled,0
2,0,1,2,Meal Plan 1,0,Room_Type 1,193,Offline,0,0,0,120,0,6/20/2018,Canceled,1
2,0,2,1,Meal Plan 2,0,Room_Type 1,145,Offline,0,0,0,94.5,0,8/29/2017,Not_Canceled,0
2,0,0,3,Meal Plan 1,0,Room_Type 1,0,Online,0,0,0,103.5,2,10/4/2018,Not_Canceled,0
2,0,1,3,Meal Plan 1,0,Room_Type 1,114,Online,0,0,0,81.26,0,7/11/2018,Not_Canceled,0
2,0,2,5,Meal Plan 1,0,Room_Type 4,56,Online,0,0,0,132.6,0,5/13/2018,Canceled,1
3,0,0,2,Meal Plan 1,0,Room_Type 4,21,Online,0,0,0,187,1,7/27/2018,Not_Canceled,0
2,0,1,1,Meal Plan 1,0,Room_Type 2,75,Online,0,0,0,78.15,0,3/21/2018,Not_Canceled,0
2,0,2,1,Meal Plan 1,0,Room_Type 4,142,Online,0,0,0,109.8,0,6/26/2018,Not_Canceled,0
2,1,0,2,Meal Plan 1,0,Room_Type 6,69,Online,0,0,0,171.2,3,1/1/2018,Not_Canceled,0
2,0,2,0,Meal Plan 1,0,Room_Type 1,116,Offline,0,0,0,70,0,2/28/2018,Not_Canceled,0
3,0,0,3,Meal Plan 1,0,Room_Type 4,22,Online,0,0,0,154,1,11/17/2018,Canceled,1
2,0,1,0,Not Selected,0,Room_Type 1,18,Online,0,0,0,89,0,9/12/2018,Not_Canceled,0
2,0,0,2,Meal Plan 1,0,Room_Type 1,68,Offline,0,0,0,65,0,9/29/2017,Not_Canceled,0
3,0,2,1,Meal Plan 1,1,Room_Type 4,22,Online,0,0,0,196,2,7/24/2018,Not_Canceled,0
2,0,0,3,Not Selected,0,Room_Type 1,50,Online,0,0,0,89.1,0,6/21/2018,Canceled,1
2,0,0,2,Not Selected,0,Room_Type 1,35,Online,0,0,0,120,1,12/28/2018,Not_Canceled,0
2,0,3,5,Meal Plan 1,0,Room_Type 1,224,Online,0,0,0,72.76,0,8/22/2018,Canceled,1
2,0,2,3,Meal Plan 1,0,Room_Type 1,21,Offline,0,0,0,58,1,12/25/2017,Not_Canceled,0
2,0,1,5,Meal Plan 1,0,Room_Type 1,142,Online,0,0,0,129.6,1,9/20/2018,Canceled,1
2,0,1,1,Meal Plan 1,0,Room_Type 1,134,Online,0,0,0,118.8,0,10/8/2018,Canceled,1
1,0,1,3,Meal Plan 1,0,Room_Type 1,81,Offline,0,0,0,85,0,9/5/2018,Not_Canceled,0
2,0,1,2,Meal Plan 1,0,Room_Type 1,73,Online,0,0,0,79.2,2,11/27/2017,Not_Canceled,0
2,0,1,0,Meal Plan 1,0,Room_Type 4,15,Online,0,0,0,175,1,8/14/2018,Not_Canceled,0
2,0,0,1,Meal Plan 1,0,Room_Type 1,19,Online,0,0,0,141,1,4/30/2018,Not_Canceled,0
0,2,3,10,Meal Plan 1,0,Room_Type 2,193,Online,0,0,0,81.82,2,7/4/2018,Canceled,1
2,0,1,2,Meal Plan 1,0,Room_Type 1,198,Offline,0,0,0,90,0,9/9/2018,Canceled,1
2,0,2,2,Meal Plan 1,0,Room_Type 4,26,Online,0,0,0,108.58,1,11/11/2018,Not_Canceled,0
2,0,1,2,Meal Plan 2,0,Room_Type 1,161,Offline,0,0,0,130,0,3/25/2018,Canceled,1
2,0,0,1,Meal Plan 1,0,Room_Type 1,55,Online,0,0,0,74.88,0,11/23/2018,Not_Canceled,0
2,0,1,2,Meal Plan 1,0,Room_Type 4,83,Online,0,0,0,105.3,0,3/25/2018,Canceled,1
2,0,2,5,Meal Plan 2,0,Room_Type 4,57,Online,0,0,0,143.29,0,4/17/2018,Canceled,1
1,0,0,2,Meal Plan 1,0,Room_Type 1,188,Offline,0,0,0,130,0,6/15/2018,Canceled,1
2,0,1,0,Meal Plan 1,0,Room_Type 1,181,Online,0,0,0,76.5,2,8/17/2017,Not_Canceled,0
2,0,2,1,Not Selected,0,Room_Type 1,33,Online,0,0,0,125.1,1,7/23/2018,Not_Canceled,0
1,0,0,4,Meal Plan 2,0,Room_Type 1,33,Offline,0,0,0,79.11,0,10/21/2017,Not_Canceled,0
2,0,0,4,Meal Plan 1,0,Room_Type 1,22,Online,0,0,0,130,1,10/25/2018,Not_Canceled,0
2,0,2,2,Meal Plan 1,0,Room_Type 1,8,Online,0,0,0,86.72,1,11/11/2018,Not_Canceled,0
2,0,2,1,Meal Plan 2,0,Room_Type 1,23,Offline,0,0,0,109,0,1/2/2018,Not_Canceled,0
2,0,1,2,Meal Plan 1,0,Room_Type 1,5,Offline,0,0,0,90,0,10/19/2017,Not_Canceled,0
2,0,1,1,Meal Plan 1,0,Room_Type 4,18,Online,0,0,0,141,0,5/7/2018,Canceled,1
2,0,0,2,Not Selected,0,Room_Type 1,3,Online,0,0,0,81,1,2/12/2018,Not_Canceled,0
2,2,1,2,Meal Plan 1,0,Room_Type 7,27,Online,0,0,0,234.35,1,9/23/2018,Not_Canceled,0
1,0,2,2,Meal Plan 1,0,Room_Type 1,64,Online,0,0,0,93.5,0,3/18/2018,Not_Canceled,0
2,0,0,1,Meal Plan 1,0,Room_Type 1,8,Online,0,0,0,111.35,0,5/25/2018,Canceled,1
1,0,0,1,Meal Plan 1,0,Room_Type 1,8,Corporate,0,0,0,80,0,2/19/2018,Not_Canceled,0
2,0,0,2,Meal Plan 1,0,Room_Type 1,33,Offline,0,0,0,67.52,0,3/8/2018,Not_Canceled,0
2,0,1,2,Meal Plan 1,0,Room_Type 1,135,Offline,0,0,0,90,0,9/14/2017,Not_Canceled,0
2,0,0,2,Not Selected,0,Room_Type 1,18,Online,0,0,0,75,0,1/21/2018,Not_Canceled,0
2,0,1,3,Meal Plan 2,0,Room_Type 1,27,Online,0,0,0,142.78,0,4/11/2018,Canceled,1
1,0,1,2,Meal Plan 1,0,Room_Type 1,48,Online,0,0,0,72.9,0,3/7/2018,Canceled,1
1,0,0,3,Not Selected,0,Room_Type 1,25,Online,0,0,0,129,0,5/10/2018,Not_Canceled,0
1,0,0,1,Meal Plan 1,0,Room_Type 1,5,Online,0,0,0,159,1,9/15/2018,Not_Canceled,0
2,0,1,0,Not Selected,0,Room_Type 1,72,Online,0,0,0,85.5,1,4/18/2018,Canceled,1
2,0,2,1,Meal Plan 1,0,Room_Type 1,54,Online,0,0,0,117.9,0,7/3/2018,Canceled,1
1,0,0,2,Meal Plan 1,0,Room_Type 1,188,Offline,0,0,0,130,0,6/15/2018,Canceled,1
1,0,1,2,Meal Plan 1,0,Room_Type 1,3,Offline,0,0,0,75,0,12/25/2017,Not_Canceled,0
2,0,2,2,Meal Plan 1,0,Room_Type 1,60,Offline,0,0,0,75,0,3/20/2018,Canceled,1
2,2,0,4,Meal Plan 1,0,Room_Type 6,6,Online,0,0,0,212.72,0,11/9/2018,Canceled,1
2,0,0,3,Meal Plan 2,0,Room_Type 1,88,Offline,0,0,0,117,1,5/3/2018,Not_Canceled,0
1,0,0,2,Meal Plan 1,0,Room_Type 1,99,Corporate,0,0,0,80.5,0,2/19/2018,Not_Canceled,0
2,0,1,4,Not Selected,0,Room_Type 1,49,Online,0,0,0,65.75,0,3/2/2018,Not_Canceled,0
1,0,1,0,Meal Plan 1,0,Room_Type 1,3,Offline,0,0,0,80,0,8/28/2018,Not_Canceled,0
2,0,2,5,Not Selected,0,Room_Type 1,166,Online,0,0,0,89.25,0,8/5/2018,Canceled,1
2,0,0,1,Meal Plan 1,0,Room_Type 1,8,Online,0,0,0,90,1,8/27/2017,Not_Canceled,0
2,2,0,1,Meal Plan 1,0,Room_Type 6,19,Online,0,0,0,155,2,9/16/2017,Not_Canceled,0
